circuitId,name,location,country,lat,lng,url
31,Donington Park,Castle Donington,UK,528.306,-137.528,http://en.wikipedia.org/wiki/Donington_Park
32,Autódromo Hermanos Rodríguez,Mexico City,Mexico,194.042,-990.907,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
33,Phoenix Street Circuit,Phoenix,USA,334.479,-112.075,http://en.wikipedia.org/wiki/Phoenix_street_circuit
34,Circuit Paul Ricard,Le Castellet,France,432.506,579.167,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
35,Korean International Circuit,Yeongam County,Korea,347.333,126.417,http://en.wikipedia.org/wiki/Korean_International_Circuit
36,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-229.756,-43.395,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet
37,Detroit Street Circuit,Detroit,USA,423.298,-830.401,http://en.wikipedia.org/wiki/Detroit_street_circuit
38,Brands Hatch,Kent,UK,513.569,0.263056,http://en.wikipedia.org/wiki/Brands_Hatch
39,Circuit Park Zandvoort,Zandvoort,Netherlands,523.888,454.092,http://en.wikipedia.org/wiki/Circuit_Zandvoort
40,Zolder,Heusden-Zolder,Belgium,509.894,525.694,http://en.wikipedia.org/wiki/Zolder
41,Dijon-Prenois,Dijon,France,473.625,489.913,http://en.wikipedia.org/wiki/Dijon-Prenois
42,Fair Park,Dallas,USA,327.774,-967.587,http://en.wikipedia.org/wiki/Fair_Park
43,Long Beach,California,USA,337.651,-118.189,http://en.wikipedia.org/wiki/Long_Beach
44,Las Vegas Street Circuit,Nevada,USA,361.162,-115.174,http://en.wikipedia.org/wiki/Las_Vegas
45,Jarama,Madrid,Spain,406.171,-358.558,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama
46,Watkins Glen,New York State,USA,423.369,-769.272,http://en.wikipedia.org/wiki/Watkins_Glen_International
47,Scandinavian Raceway,Anderstorp,Sweden,572.653,136.042,http://en.wikipedia.org/wiki/Scandinavian_Raceway
48,Mosport International Raceway,Ontario,Canada,440.481,-786.756,http://en.wikipedia.org/wiki/Mosport
49,Montjuïc,Barcelona,Spain,413.664,215.167,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit
50,Nivelles-Baulers,Brussels,Belgium,506.211,432.694,http://en.wikipedia.org/wiki/Nivelles-Baulers
51,Charade Circuit,Clermont-Ferrand,France,457.472,303.889,http://en.wikipedia.org/wiki/Charade_Circuit
52,Circuit Mont-Tremblant,Quebec,Canada,461.877,-746.099,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant
